,AIS_id,index,Master Update Time,overall_tn,Track ID,Vessel Type Number,Latitude,Longitude,Length,Breadth,Draught,Speed,Heading,Sensor Source,AIS Ref,Track No.,HourDiff,X_East,Y_North,Ship Type_Length,Ship Type_Num
3,4,3,2021-10-31 16:00:06,527098,8621,,22.42879243,113.9133095,8.800000190734863,1.899999976158142,,0.01,81.30000305175781,,,527098,,808828.4753090553,830853.5371724875,SC,
4,5,4,2021-10-31 16:00:09,549797,9789,,22.42580269,113.920039,4.0,1.100000023841858,,0.0,,,,549797,,808201.7673658694,831195.6271321394,SC,
5,6,6,2021-10-31 16:00:12,67447,13530,,22.42419022,113.9154223,11.399999618530273,1.5,,0.0,,,,67447,,809453.7442046731,831720.5098867918,SC,
7,8,7,2021-10-31 16:00:12,492317,6819,,22.42904029,113.9127791,13.300000190734863,3.4000000953674316,,0.01,17.700000762939453,,,492317,,807599.0816828875,830802.3623834641,SC,
8,9,8,2021-10-31 16:00:15,259589,23517,,22.4176538,113.9112396,37.099998474121094,16.700000762939453,,0.0,,,,259589,,808015.4572052107,831855.1427461649,SC,
9,10,9,2021-10-31 16:00:15,335971,27478,,22.42492318,113.9206254,15.5,2.0,,0.01,,,,335971,,808090.8318719312,831981.249199718,SC,
11,12,11,2021-10-31 16:00:30,503831,7418,,22.41665678,113.9103539,4.900000095367432,1.5,,0.0,,,,503831,,809285.3136675018,831779.8922710897,SC,
12,13,12,2021-10-31 16:00:33,60936,13190,,22.42657508,113.9121601,7.199999809265137,1.399999976158142,,0.04,58.5,,,60936,,809353.3882139771,831668.7894092778,SC,
14,15,13,2021-10-31 16:00:34,367129,29105,70.0,22.42635376,113.9361372,69.9000015258789,17.5,3.4000000953674316,0.0,,b'VTSIS',275325618240.0,367129,,809228.6662532433,831984.3270362838,RTV,RTV
15,16,15,2021-10-31 16:00:36,472364,5775,,22.42965732,113.9087507,18.600000381469727,5.400000095367432,,0.0,,,,472364,,809879.3000381107,831774.5130663244,SC,
17,18,17,2021-10-31 16:00:39,4424,10228,,22.42749504,113.9117468,24.399999618530273,7.599999904632568,,0.01,,,,4424,,809418.5087479043,831563.4935259146,SC,
18,19,18,2021-10-31 16:00:45,466156,5448,,22.42534001,113.9147715,30.200000762939453,8.300000190734863,,0.0,,,,466156,,808940.428301709,831888.2187468599,SC,
20,21,20,2021-10-31 16:00:51,208662,20872,,22.42909334,113.9179183,6.300000190734863,1.100000023841858,,0.0,,,,208662,,809161.0655034806,831383.5593462418,SC,
22,23,23,2021-10-31 16:01:00,200333,2044,,22.42538913,113.9206593,4.199999809265137,1.100000023841858,,0.12,37.20000076293945,,,200333,,808308.2869516738,830706.0739876166,SC,
23,24,22,2021-10-31 16:01:00,397950,3070,70.0,22.42775999,113.90632,53.0,12.0,,0.0,,b'AIS',238374906048.0,397950,,809559.4883881165,831935.7419153753,RTV,RTV
24,25,25,2021-10-31 16:01:03,424153,3255,,22.42564444,113.91266,23.399999618530273,3.4000000953674316,,0.0,,,,424153,,809175.3682362064,831837.3578398824,SC,
25,26,24,2021-10-31 16:01:03,457558,5004,,22.41675133,113.9101161,3.9000000953674316,1.2999999523162842,,0.02,134.8000030517578,,,457558,,810094.0235790483,831966.3259821489,SC,
26,27,26,2021-10-31 16:01:06,549797,9789,,22.42577646,113.9200539,3.5,1.100000023841858,,0.2,99.5999984741211,,,549797,0.02,807709.329272647,831727.3227437369,SC,
28,29,28,2021-10-31 16:01:09,411453,31396,,22.42635988,113.9213947,21.299999237060547,2.700000047683716,,0.01,,,,411453,,808804.1869123776,832186.7888187733,SC,
