,X,Y,Z,fid,overall_tn,begin,end,Track ID,Vessel Type Number,Ship Type_Length,Ship Type_Num,fid_2,Nearest,Hour
0,113.911469709468,22.4191611091876,0,1,200268,2021/10/31 18:30:12,2021/10/31 18:30:57,20437,,SC,,1,2021-10-31T18:30:12.000,19
0,113.90983334573,22.4185979880596,0,1,552452,2021/11/01 06:37:39,2021/11/01 07:45:00,9927,,SC,,1,2021-11-01T06:43:30.000,7
1,113.911193116833,22.4190659254869,0,2,552452,2021/11/01 06:37:39,2021/11/01 07:45:00,9927,,SC,,1,2021-11-01T01:46:30.000,2
2,113.9108449797,22.4189461212094,0,3,331157,2021/11/01 12:16:30,2021/11/01 12:21:30,27222,,SC,,1,2021-11-01T02:07:00.000,2
3,113.911303172556,22.419103798914,0,4,170390,2021/11/01 01:39:12,2021/11/01 02:50:30,18896,,SC,,1,2021-11-01T01:46:30.000,2
4,113.911777912696,22.4192671710278,0,5,170390,2021/11/01 01:39:12,2021/11/01 02:50:30,18896,,SC,,1,2021-11-01T02:07:30.000,2
5,113.912104276547,22.4193794824755,0,6,170390,2021/11/01 01:39:12,2021/11/01 02:50:30,18896,,SC,,1,2021-11-01T02:07:30.000,2
6,113.910049983323,22.4186725394585,0,7,138519,2021/11/01 23:56:18,2021/11/01 23:59:30,17233,,SC,,1,2021-11-01T07:06:00.000,7
7,113.910773179593,22.4189214126704,0,8,412175,2021/11/01 05:52:03,2021/11/01 05:53:00,31435,,SC,,1,2021-11-01T02:07:00.000,2
0,113.911156279663,22.4190532487277,0,1,401759,2021/11/02 01:32:42,2021/11/02 02:34:00,3090,,SC,,1,2021-11-02T23:39:03.000,0
1,113.909891631851,22.4186180460365,0,2,521626,2021/11/02 06:48:12,2021/11/02 06:57:00,8340,,SC,,1,2021-11-02T06:49:39.000,7
2,113.909954937932,22.4186398315303,0,3,521626,2021/11/02 06:48:12,2021/11/02 06:57:00,8340,,SC,,1,2021-11-02T06:49:39.000,7
3,113.910277871039,22.418750962357,0,4,521626,2021/11/02 06:48:12,2021/11/02 06:57:00,8340,,SC,,1,2021-11-02T06:57:00.000,7
4,113.910007728529,22.418657998335,0,5,545296,2021/11/02 23:22:48,2021/11/02 23:58:48,9551,,SC,,1,2021-11-02T06:50:00.000,7
5,113.910924404271,22.4189734535518,0,6,50385,2021/11/02 06:37:30,2021/11/02 06:47:00,12635,,SC,,1,2021-11-02T06:42:30.000,7
0,113.911913978568,22.4193139953161,0,1,111238,2021/11/03 01:52:30,2021/11/03 02:26:00,15793,,SC,,1,2021-11-03T02:21:54.000,2
1,113.912086792764,22.4193734657889,0,2,111238,2021/11/03 01:52:30,2021/11/03 02:26:00,15793,,SC,,1,2021-11-03T01:59:54.000,2
2,113.911588109823,22.4192018542493,0,3,152484,2021/11/03 07:09:51,2021/11/03 07:52:30,17965,,SC,,1,2021-11-03T13:00:30.000,13
3,113.909968846096,22.4186446177406,0,4,366309,2021/11/03 05:21:03,2021/11/03 05:50:06,29060,,SC,,1,2021-11-03T05:21:03.000,5
4,113.911042181795,22.4190139842791,0,5,359826,2021/11/03 02:17:33,2021/11/03 02:28:00,28723,60.0,SC,SC,1,2021-11-03T04:34:00.000,5
5,113.910527673131,22.4188369266403,0,6,178401,2021/11/03 06:07:48,2021/11/03 06:11:30,193,,SC,,1,2021-11-03T23:19:30.000,23
6,113.911838584188,22.4192880498815,0,7,521558,2021/11/03 12:48:57,2021/11/03 13:02:00,8337,,SC,,1,2021-11-03T13:00:30.000,13
7,113.910635777859,22.4188741286727,0,8,190235,2021/11/03 08:12:12,2021/11/03 08:21:00,19913,,SC,,1,2021-11-03T07:49:00.000,8
8,113.910812395138,22.4189349078987,0,9,437301,2021/11/03 23:18:42,2021/11/03 23:21:00,3951,,SC,,1,2021-11-03T00:46:36.000,1
9,113.910750225002,22.4189135133171,0,10,196261,2021/11/03 07:47:03,2021/11/03 07:51:00,20225,,SC,,1,2021-11-03T00:46:36.000,1
10,113.912844085819,22.4196340727122,0,11,373195,2021/11/03 11:03:12,2021/11/03 11:06:00,29418,,SC,,1,2021-11-03T14:00:00.000,14
11,113.911434496979,22.4191489915294,0,12,199820,2021/11/03 06:48:15,2021/11/03 06:49:42,20411,,SC,,1,2021-11-03T07:16:00.000,7
12,113.911438329689,22.4191503104781,0,13,42026,2021/11/03 02:38:51,2021/11/03 02:49:30,12207,60.0,SC,PV,1,2021-11-03T07:16:00.000,7
13,113.91192128737,22.4193165104908,0,14,42026,2021/11/03 02:38:51,2021/11/03 02:49:30,12207,60.0,SC,PV,1,2021-11-03T02:21:54.000,2
0,113.910861409194,22.418951775084,0,1,266143,2021/11/04 03:03:39,2021/11/04 05:51:00,23852,,SC,,1,2021-11-04T04:11:30.000,4
1,113.910897903854,22.418964333975,0,2,234032,2021/11/04 01:25:03,2021/11/04 04:13:30,22192,,SC,,1,2021-11-04T04:11:30.000,4
2,113.910374980157,22.4187843804751,0,3,304749,2021/11/04 01:35:00,2021/11/04 02:37:00,25851,,SC,,1,2021-11-04T02:08:00.000,2
3,113.910699993316,22.4188962271093,0,4,304749,2021/11/04 01:35:00,2021/11/04 02:37:00,25851,,SC,,1,2021-11-04T06:26:30.000,6
4,113.911958447395,22.4193292983539,0,5,304749,2021/11/04 01:35:00,2021/11/04 02:37:00,25851,,SC,,1,2021-11-04T19:34:30.000,20
5,113.911375368602,22.4191286437071,0,6,328605,2021/11/04 06:42:00,2021/11/04 07:49:30,27087,,SC,,1,2021-11-04T07:11:30.000,7
