,X,Y,Z,fid,overall_tn,begin,end,Track ID,Vessel Type Number,Ship Type_Length,Ship Type_Num,fid_2,id,intersects,length,Nearest,Hour
0,113.914105457079,22.4222802928602,0,1,201685,2021/10/31 23:15:21,2021/10/31 23:58:37,20513,70.0,STV,RTV,1,1,,5110.74,2021-10-31T20:19:00.000,20
1,113.914090021323,22.4223151189869,0,2,367129,2021/10/31 16:00:34,2021/10/31 20:30:30,29105,70.0,STV,RTV,1,1,,5110.74,2021-10-31T20:19:00.000,20
2,113.914082821628,22.4223313629278,0,3,147416,2021/10/31 17:03:36,2021/10/31 23:58:03,1770,70.0,STV,RTV,1,1,,5110.74,2021-10-31T20:19:00.000,20
3,113.913373205984,22.4239323965742,0,4,351044,2021/10/31 17:18:00,2021/10/31 17:18:30,28268,,SC,,1,1,,5110.74,2021-10-31T19:59:42.000,20
4,113.913149706748,22.4244366551834,0,5,222415,2021/10/31 18:39:03,2021/10/31 18:41:00,21589,,SC,,1,1,,5110.74,2021-10-31T22:26:12.000,22
5,113.913158591292,22.4244166098901,0,6,143306,2021/10/31 21:18:12,2021/10/31 23:58:12,17488,,RTV,,1,1,,5110.74,2021-10-31T22:16:12.000,22
6,113.913158862078,22.4244159989428,0,7,143306,2021/10/31 21:18:12,2021/10/31 23:58:12,17488,,RTV,,1,1,,5110.74,2021-10-31T22:16:12.000,22
7,113.913158998417,22.4244156913352,0,8,143306,2021/10/31 21:18:12,2021/10/31 23:58:12,17488,,RTV,,1,1,,5110.74,2021-10-31T22:16:12.000,22
8,113.913159550093,22.4244144466445,0,9,143306,2021/10/31 21:18:12,2021/10/31 23:58:12,17488,,RTV,,1,1,,5110.74,2021-10-31T22:16:12.000,22
9,113.913162559009,22.4244076579329,0,10,143306,2021/10/31 21:18:12,2021/10/31 23:58:12,17488,,RTV,,1,1,,5110.74,2021-10-31T22:32:12.000,23
10,113.913164792026,22.4244026198043,0,11,143306,2021/10/31 21:18:12,2021/10/31 23:58:12,17488,,RTV,,1,1,,5110.74,2021-10-31T22:46:12.000,23
11,113.913167751201,22.4243959433188,0,12,143306,2021/10/31 21:18:12,2021/10/31 23:58:12,17488,,RTV,,1,1,,5110.74,2021-10-31T22:56:12.000,23
12,113.91316836968,22.424394547907,0,13,143306,2021/10/31 21:18:12,2021/10/31 23:58:12,17488,,RTV,,1,1,,5110.74,2021-10-31T22:56:12.000,23
13,113.912988653074,22.4248000242181,0,14,148032,2021/10/31 16:15:12,2021/10/31 16:18:54,17732,,SC,,1,1,,5110.74,2021-10-31T17:29:39.000,17
14,113.914118981564,22.4222497789382,0,15,102690,2021/10/31 22:12:00,2021/10/31 23:55:13,15357,70.0,STV,RTV,1,1,,5110.74,2021-10-31T20:19:00.000,20
15,113.914029213229,22.4224523141078,0,16,303963,2021/10/31 23:34:00,2021/10/31 23:59:30,25809,70.0,STV,RTV,1,1,,5110.74,2021-10-31T20:19:00.000,20
16,113.912994780326,22.424786199921,0,17,536192,2021/10/31 17:20:15,2021/10/31 18:59:07,9088,,SC,,1,1,,5110.74,2021-10-31T17:29:39.000,17
17,113.912996964792,22.4247812713328,0,18,536192,2021/10/31 17:20:15,2021/10/31 18:59:07,9088,,SC,,1,1,,5110.74,2021-10-31T17:39:39.000,18
