,Ship Type_Length,Hour,size
0,RTV,0,18
1,RTV,1,5
2,RTV,2,8
3,RTV,3,17
4,RTV,4,7
5,RTV,5,11
6,RTV,6,4
7,RTV,7,2
8,RTV,8,6
9,RTV,9,4
10,RTV,10,9
11,RTV,11,13
12,RTV,12,6
13,RTV,13,6
14,RTV,14,8
15,RTV,15,3
16,RTV,16,6
17,RTV,17,3
18,RTV,18,3
19,RTV,19,2
20,RTV,20,4
21,RTV,22,5
22,RTV,23,10
23,SC,0,58
24,SC,1,37
25,SC,2,67
26,SC,3,52
27,SC,4,68
28,SC,5,70
29,SC,6,27
30,SC,7,52
31,SC,8,34
32,SC,9,26
33,SC,10,29
34,SC,11,35
35,SC,12,39
36,SC,13,22
37,SC,14,29
38,SC,15,30
39,SC,16,56
40,SC,17,35
41,SC,18,40
42,SC,19,38
43,SC,20,30
44,SC,21,23
45,SC,22,47
46,SC,23,62
47,STV,0,28
48,STV,1,10
49,STV,2,1
50,STV,3,16
51,STV,4,34
52,STV,5,52
53,STV,6,69
54,STV,7,41
55,STV,8,26
56,STV,9,24
57,STV,10,33
58,STV,11,68
59,STV,12,26
60,STV,13,5
61,STV,14,11
62,STV,15,17
63,STV,16,4
64,STV,17,2
65,STV,18,16
66,STV,19,10
67,STV,20,27
68,STV,21,22
69,STV,22,9
70,STV,23,66
